Model,RMSE Mean,RMSE Std
XGBoost,19.515317975942725,2.8946089058466486
Extra Trees,19.601863258427862,1.5915640912753213
CatBoost,20.501288463171864,2.5661619204075716
Random Forest,21.22127783573307,2.8977260183880515
Gradient Boosting,22.627685073775734,2.3443780686718534
LightGBM,23.791540820684865,4.18182025529478
Hist Gradient Boosting,23.98003336193174,2.970355929873104
Decision Tree,27.91317801443564,5.15145664523737
Linear Regression,29.356470089862842,2.082113040531555
Ridge,30.113659097045808,1.6621920754208417
ElasticNet,30.194399767575426,1.6096265927468318
Lasso,30.250405154970245,1.5972201349928827
KNN,37.7268056301173,4.742470767678279
SVR,44.40324635135035,5.9725134777842905
MLP,736.4255841271273,30.899368510678954
